epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,174.071,1.00528,2.11764,1.41876,0.63977,0.7,0.7149,0.49633,1.68284,1.53646,1.39009,2.82082e-05,2.82082e-05,2.82082e-05
40,178.076,1.0168,1.10124,1.44358,0.63977,0.7,0.7149,0.49633,1.68284,1.53646,1.39009,2.84911e-05,2.84911e-05,2.84911e-05
41,182.171,0.76485,1.21129,1.14158,0.63661,0.66403,0.61535,0.41405,1.6827,1.59227,1.39098,2.87504e-05,2.87504e-05,2.87504e-05
42,186.265,0.91365,1.2925,1.29286,0.63661,0.66403,0.61535,0.41405,1.6827,1.59227,1.39098,2.89861e-05,2.89861e-05,2.89861e-05
43,190.316,0.52356,2.45725,1.10663,0.57259,0.51832,0.57142,0.35591,1.6984,1.66123,1.39366,2.91983e-05,2.91983e-05,2.91983e-05
44,194.412,0.91585,1.05989,1.2794,0.57259,0.51832,0.57142,0.35591,1.6984,1.66123,1.39366,2.93869e-05,2.93869e-05,2.93869e-05
45,198.507,0.66909,0.87589,1.16906,0.59008,0.48333,0.52725,0.31425,1.70099,1.73771,1.39676,2.9552e-05,2.9552e-05,2.9552e-05
46,202.508,0.91642,1.22583,1.42697,0.59008,0.48333,0.52725,0.31425,1.70099,1.73771,1.39676,2.96935e-05,2.96935e-05,2.96935e-05
47,206.611,0.84641,0.86836,1.12385,0.58572,0.48333,0.52679,0.31032,1.71303,1.76403,1.40354,2.98114e-05,2.98114e-05,2.98114e-05
48,210.702,0.73573,1.07889,1.13528,0.58572,0.48333,0.52679,0.31032,1.71303,1.76403,1.40354,2.99058e-05,2.99058e-05,2.99058e-05
49,214.809,0.92196,1.15299,1.26138,0.60417,0.49813,0.52761,0.30815,1.73951,1.86114,1.42205,2.99766e-05,2.99766e-05,2.99766e-05
50,218.901,0.82139,0.89165,1.18062,0.60417,0.49813,0.52761,0.30815,1.73951,1.86114,1.42205,3.00238e-05,3.00238e-05,3.00238e-05
51,223.01,0.7685,1.06572,1.16105,0.60547,0.4983,0.52514,0.30155,1.737,1.93053,1.43445,3.00475e-05,3.00475e-05,3.00475e-05
52,227.076,0.84655,0.92261,1.18366,0.60547,0.4983,0.52514,0.30155,1.737,1.93053,1.43445,3.00476e-05,3.00476e-05,3.00476e-05
53,231.079,0.65574,0.76488,1.18423,0.60547,0.4983,0.52514,0.30155,1.737,1.93053,1.43445,3.00242e-05,3.00242e-05,3.00242e-05
54,235.303,0.82248,1.17062,1.23663,0.76047,0.5,0.52747,0.30005,1.72556,1.91979,1.42935,2.99772e-05,2.99772e-05,2.99772e-05
55,239.309,0.9081,0.77402,1.18901,0.76047,0.5,0.52747,0.30005,1.72556,1.91979,1.42935,2.99066e-05,2.99066e-05,2.99066e-05
56,243.409,0.82256,1.06306,1.15368,0.76047,0.5,0.52747,0.30005,1.72556,1.91979,1.42935,2.98125e-05,2.98125e-05,2.98125e-05
57,247.517,0.63641,0.85369,1.06789,0.75933,0.5,0.5187,0.30141,1.68037,1.84175,1.39768,2.96948e-05,2.96948e-05,2.96948e-05
